Anio,Semana,Mes,Fecha,Grupo,Lote,Bin,Bruto,Tara,Neto,DescarteKg,Motivo,Calidad
2026,15,abril,2026-04-06,4725,70,canastas,612,90,522,6.0,,PE2
2026,15,abril,2026-04-06,4725,62,canastas,621,90,531,5.0,,PEGUA
2026,15,abril,2026-04-06,4725,62,canastas,643,101,542,3.0,,PEGUA
2026,15,abril,2026-04-06,4725,62,canastas,568,91,477,4.0,,PE3
2026,15,abril,2026-04-06,4725,70,canastas,507,91,416,10.0,,PEBAB
2026,15,abril,2026-04-06,4825,71,canastas,584,91,493,5.0,,PEGUA
2026,15,abril,2026-04-07,,,canastas,564,83,481,3.0,,AD2
2026,15,abril,2026-04-07,,,canastas,585,91,494,8.0,,PE3
2026,15,abril,2026-04-07,,,canastas,610,91,519,8.0,,PE3
2026,15,abril,2026-04-07,4725,70,canastas,574,91,483,4.0,,PEGUA
2026,15,abril,2026-04-07,,,56,1866,403,1463,7.0,,PEGUA
2026,15,abril,2026-04-07,,,canastas,491,91,400,20.0,,PEBAB
2026,15,abril,2026-04-07,,,canastas,495,91,404,3.0,,PEBAB
2026,15,abril,2026-04-07,,,canastas,585,90,495,4.0,,PEGUA
2026,15,abril,2026-04-07,,,canastas,587,91,496,2.0,,PE2
2026,15,abril,2026-04-07,,,canastas,589,91,498,3.0,,PE2
2026,15,abril,2026-04-07,,,canastas,94,10,84,3.0,,PE2
2026,15,abril,2026-04-07,,,canastas,760,107,653,4.0,,PE1
2026,15,abril,2026-04-07,,,canastas,560,91,469,6.0,,PE3
2026,15,abril,2026-04-07,,,canastas,597,90,507,3.0,,PEGUA
2026,15,abril,2026-04-07,,,canastas,513,91,422,18.0,,PEGUA
2026,15,abril,2026-04-07,,,canastas,564,91,473,3.0,,PE3
2026,15,abril,2026-04-07,,,canastas,597,91,506,4.0,,PE2
2026,15,abril,2026-04-07,,,canastas,406,70,336,8.0,,AD-PJUG
2026,15,abril,2026-04-07,,,canastas,51,6,45,2.0,,AD-PJUG
2026,15,abril,2026-04-07,4725,70,canastas,574,91,483,8.0,,PEGUA
2026,15,abril,2026-04-07,,,canastas,547,92,455,6.0,,PEGUA
2026,15,abril,2026-04-07,,,53,1810,399,1411,4.0,,PEGUA
2026,15,abril,2026-04-08,626,76,canastas,546,87,459,2.0,,AD-PJUG
2026,15,abril,2026-04-08,4725,62,canastas,534,92,442,3.0,,PEGUA
2026,15,abril,2026-04-08,4725,62,canastas,505,83,422,1.0,,PE2
2026,15,abril,2026-04-08,4725,63,canastas,640,91,549,2.0,,PE1
2026,15,abril,2026-04-08,526,76,canastas,590,90,500,8.0,,AD2
2026,15,abril,2026-04-08,4725,62,canastas,612,91,521,7.0,,PE1
2026,15,abril,2026-04-08,,,canastas,398,73,325,5.0,,PEGUA
2026,15,abril,2026-04-08,4825,70,canastas,629,91,538,13.0,,PE1
2026,15,abril,2026-04-08,,,canastas,611,91,520,3.0,,PE1
2026,15,abril,2026-04-08,4725,76,canastas,605,91,514,5.0,,AD3
2026,15,abril,2026-04-08,4725,62,canastas,623,96,527,2.0,,PE2
2026,15,abril,2026-04-08,,,canastas,591,91,500,5.0,,PEGUA
2026,15,abril,2026-04-08,,,canastas,590,91,499,9.0,,PEGUA
2026,15,abril,2026-04-08,,,canastas,495,91,404,5.0,,PEBAB
2026,15,abril,2026-04-08,,,canastas,498,83,415,5.0,,PEGUA
2026,15,abril,2026-04-08,4725,63,canastas,613,91,522,4.0,,PE3
2026,15,abril,2026-04-08,,,canastas,530,90,440,40.0,,PEGUA
2026,15,abril,2026-04-08,4725,62,canastas,598,90,508,5.0,,PE3
2026,15,abril,2026-04-08,4725,62,canastas,520,91,429,5.0,,PEGUA
2026,15,abril,2026-04-08,4725,63,canastas,537,91,446,3.0,,PEGUA
2026,15,abril,2026-04-09,4825,63,canastas,656,97,559,2.0,,PE2
2026,15,abril,2026-04-09,4825,63,canastas,590,91,499,4.0,,PE2
2026,15,abril,2026-04-09,4825,63,canastas,231,52,179,2.0,,PE1
2026,15,abril,2026-04-09,4825,63,canastas,618,89,529,2.0,,PE1
2026,15,abril,2026-04-09,726,64,canastas,594,91,503,1.0,,AD2
2026,15,abril,2026-04-09,4825,63,canastas,579,91,488,1.0,,PE3
2026,15,abril,2026-04-09,4825,63,canastas,646,99,547,3.0,,PIND
2026,15,abril,2026-04-09,726,64,canastas,639,90,549,2.0,,AD-PJUG
2026,15,abril,2026-04-09,726,64,canastas,638,91,547,5.0,,AD1
2026,15,abril,2026-04-09,4825,63,canastas,599,91,508,3.0,,PE2
2026,15,abril,2026-04-09,,,76,1937,393,1544,10.0,,PEBAB
2026,15,abril,2026-04-10,4725,63,canastas,560,90,470,7.0,,PEGUA
2026,15,abril,2026-04-10,4725,62,canastas,159,47,112,9.0,,PEBAB
2026,15,abril,2026-04-11,4825,63,canastas,511,91,420,1.0,,PEBAB
2026,15,abril,2026-04-11,1026,64,canastas,574,90,484,2.0,,ADGUA
2026,15,abril,2026-04-11,726,74,canastas,608,91,517,9.0,,AD2
2026,15,abril,2026-04-11,4725,62,canastas,521,91,430,2.0,,PEBAB
2026,15,abril,2026-04-11,726,74,canastas,55,6,49,6.0,,PE3
2026,15,abril,2026-04-11,326,74,canastas,610,92,518,2.0,,AD3
2026,15,abril,2026-04-11,326,74,canastas,650,90,560,9.0,,AD1
2026,15,abril,2026-04-11,326,74,canastas,608,91,517,9.0,,AD2
2026,15,abril,2026-04-11,4825,63,canastas,505,100,405,12.0,,PE2
2026,15,abril,2026-04-11,4825,71,canastas,506,99,407,28.0,,PE1
2026,15,abril,2026-04-11,4825,63,canastas,585,88,497,3.0,,PE2
2026,15,abril,2026-04-11,226,74,canastas,664,91,573,9.0,,AD-PJUG
2026,16,abril,2026-04-13,4825,63,canastas,372,67,305,5.0,,PE2
2026,16,abril,2026-04-13,4825,71,canastas,550,91,459,4.0,,PEGUA
2026,16,abril,2026-04-13,4825,63,canastas,643,92,551,3.0,,PE3
2026,16,abril,2026-04-13,4825,62,canastas,595,90,505,5.0,,PE3
2026,16,abril,2026-04-13,4825,63,canastas,585,91,494,2.0,,PEGUA
2026,16,abril,2026-04-13,4825,63,canastas,526,91,435,1.0,,PEBAB
2026,16,abril,2026-04-13,4825,71,canastas,592,90,502,3.0,,PE2
2026,16,abril,2026-04-13,4825,63,canastas,601,92,509,4.0,,PE2
2026,16,abril,2026-04-13,4825,71,canastas,600,90,510,6.0,,PE3
2026,16,abril,2026-04-13,4825,71,canastas,621,91,530,2.0,,PE3
2026,16,abril,2026-04-13,4825,71,canastas,559,90,469,4.0,,PEGUA
2026,16,abril,2026-04-13,4825,63,canastas,508,90,418,1.0,,PEBAB
2026,16,abril,2026-04-13,4825,71,canastas,627,90,537,20.0,,PE1
2026,16,abril,2026-04-13,4825,63,canastas,596,90,506,3.0,,PE2
2026,16,abril,2026-04-13,4825,63,canastas,567,90,477,4.0,,PEGUA
2026,16,abril,2026-04-13,4825,63,canastas,532,90,442,1.0,,PEBAB
2026,16,abril,2026-04-14,4825,63,canastas,613,89,524,5.0,,PE2
2026,16,abril,2026-04-14,4825,71,canastas,592,92,500,5.0,,PE2
2026,16,abril,2026-04-14,4825,71,canastas,586,90,496,3.0,,PE2
2026,16,abril,2026-04-14,4825,63,canastas,663,91,572,2.0,,PE1
2026,16,abril,2026-04-14,4825,71,canastas,618,91,527,2.0,,PE1
2026,16,abril,2026-04-14,4825,63,canastas,660,101,559,4.0,,PEGUA
2026,16,abril,2026-04-14,4825,71,canastas,682,101,581,2.0,,PEGUA
2026,16,abril,2026-04-14,4825,63,canastas,588,91,497,6.0,,PEGUA
2026,16,abril,2026-04-14,4825,63,canastas,582,91,491,2.0,,PE3
2026,16,abril,2026-04-14,4825,63,canastas,573,90,483,3.0,,PE3
2026,16,abril,2026-04-14,4825,63,canastas,682,101,581,5.0,,PEGUA
2026,16,abril,2026-04-14,4825,63,canastas,543,91,452,4.0,,PEBAB
2026,16,abril,2026-04-14,4825,63,canastas,595,91,504,4.0,,PE2
2026,16,abril,2026-04-14,4825,71,canastas,682,89,593,12.0,,PE1
2026,16,abril,2026-04-14,4825,71,canastas,594,91,503,8.0,,PE2
2026,16,abril,2026-04-14,4825,71,canastas,646,90,556,4.0,,PE1
2026,16,abril,2026-04-14,4825,63,canastas,582,90,492,8.0,,PE3
2026,16,abril,2026-04-14,4825,63,canastas,354,66,288,4.0,,PE2
2026,16,abril,2026-04-14,4825,63,canastas,598,91,507,2.0,,PE2
2026,16,abril,2026-04-14,4825,63,canastas,598,90,508,2.0,,PE3
2026,16,abril,2026-04-14,4825,63,canastas,495,91,404,6.0,,PEBAB
2026,16,abril,2026-04-14,4825,63,canastas,583,91,492,3.0,,PEGUA
2026,16,abril,2026-04-14,4825,63,canastas,610,89,521,2.0,,PE3
2026,16,abril,2026-04-14,4825,71,canastas,540,90,450,2.0,,PEBAB
2026,16,abril,2026-04-14,4825,63,canastas,569,90,479,4.0,,PEGUA
2026,16,abril,2026-04-15,726,72,canastas,629,91,538,3.0,,AD1
2026,16,abril,2026-04-15,726,72,canastas,594,90,504,2.0,,AD2
2026,16,abril,2026-04-15,4825,63,canastas,605,91,514,2.0,,PEGUA
2026,16,abril,2026-04-15,4825,71,canastas,601,91,510,1.0,,PE2
2026,16,abril,2026-04-15,4825,63,canastas,255,57,198,1.0,,PE3
2026,16,abril,2026-04-15,4825,71,canastas,580,91,489,1.0,,PE3
2026,16,abril,2026-04-15,4825,63,canastas,555,87,468,2.0,,PE2
2026,16,abril,2026-04-15,4825,63,canastas,660,91,569,3.0,,PE1
2026,16,abril,2026-04-15,4825,71,canastas,540,83,457,5.0,,PE1
2026,16,abril,2026-04-15,4825,63,canastas,518,81,437,5.0,,PEBAB
2026,16,abril,2026-04-15,4825,71,canastas,673,91,582,12.0,,PE1
2026,16,abril,2026-04-15,726,74,canastas,599,91,508,4.0,,AD2
2026,16,abril,2026-04-15,4825,71,canastas,581,91,490,3.0,,PE3
2026,16,abril,2026-04-15,4825,63,canastas,176,46,130,4.0,,PE1
2026,16,abril,2026-04-15,4825,63,canastas,621,90,531,3.0,,PEGUA
2026,16,abril,2026-04-15,4825,63,canastas,591,90,501,1.0,,PE2
2026,16,abril,2026-04-15,4825,63,canastas,592,90,502,2.0,,PE2
2026,16,abril,2026-04-15,4825,63,canastas,580,91,489,3.0,,PE3
2026,16,abril,2026-04-15,4825,63,canastas,621,91,530,1.0,,PEGUA
2026,16,abril,2026-04-16,4825,63,canastas,527,91,436,4.0,,PEGUA
2026,16,abril,2026-04-16,426,74,canastas,534,85,449,9.0,,PE1
2026,16,abril,2026-04-16,4825,63,canastas,568,87,481,1.0,,PE2
2026,16,abril,2026-04-16,4825,63,canastas,635,90,545,4.0,,PE1
2026,16,abril,2026-04-16,4825,63,canastas,443,81,362,2.0,,PEGUA
2026,16,abril,2026-04-16,4825,63,canastas,590,91,499,2.0,,PE3
2026,16,abril,2026-04-16,4825,63,canastas,523,91,432,4.0,,PEGUA
2026,16,abril,2026-04-16,4825,63,canastas,491,101,390,38.0,,PE2
2026,16,abril,2026-04-16,4825,63,canastas,530,91,439,2.0,,PEGUA
2026,16,abril,2026-04-17,4825,63,canastas,541,91,450,3.0,,PEGUA
2026,16,abril,2026-04-17,326,74,canastas,594,89,505,1.0,,AD2
2026,16,abril,2026-04-17,4825,63,canastas,438,71,367,1.0,,PE1
2026,16,abril,2026-04-17,4825,63,canastas,588,96,492,3.0,,PIND
2026,16,abril,2026-04-17,4825,63,canastas,601,91,510,5.0,,PEGUA
2026,16,abril,2026-04-17,4825,63,canastas,602,90,512,10.0,,PEGUA
2026,16,abril,2026-04-17,4825,63,canastas,582,91,491,10.0,,PEGUA
2026,16,abril,2026-04-17,4825,63,canastas,557,91,466,4.0,,PE2
2026,16,abril,2026-04-17,326,74,canastas,590,86,504,2.0,,AD2
2026,16,abril,2026-04-17,326,74,canastas,595,91,504,2.0,,AD2
2026,16,abril,2026-04-17,326,74,canastas,362,65,297,2.0,,AD1
2026,16,abril,2026-04-17,4825,63,canastas,633,91,542,2.0,,PE1
2026,16,abril,2026-04-17,4825,63,canastas,611,91,520,5.0,,PE3
2026,16,abril,2026-04-17,4825,63,canastas,580,91,489,4.0,,PE3
2026,16,abril,2026-04-17,4825,63,canastas,578,92,486,3.0,,PE3
2026,16,abril,2026-04-17,4825,63,canastas,582,89,493,1.0,,PIND
2026,16,abril,2026-04-17,4825,63,canastas,236,51,185,181.0,,PJUG
2026,16,abril,2026-04-17,4925,71,canastas,121,24,97,97.0,,PJUG
2026,16,abril,2026-04-17,4825,63,canastas,152,56,96,19.0,,PJUG
2026,16,abril,2026-04-17,326,74,canastas,644,91,553,11.0,,AD1
2026,16,abril,2026-04-17,326,74,canastas,618,90,528,6.0,,AD1
2026,16,abril,2026-04-17,326,74,canastas,615,91,524,12.0,,AD2
2026,16,abril,2026-04-17,4825,63,canastas,636,91,545,6.0,,PEGUA
2026,16,abril,2026-04-17,4825,63,canastas,510,90,420,5.0,,PEBAB
2026,16,abril,2026-04-17,4825,63,canastas,596,90,506,2.0,,PE3
2026,16,abril,2026-04-17,4925,71,canastas,608,90,518,14.0,,PE1
2026,16,abril,2026-04-17,4925,71,canastas,650,91,559,14.0,,PE1
2026,16,abril,2026-04-18,5025,71,canastas,550,90,460,1.0,,PEGUA
2026,16,abril,2026-04-18,4825,63,canastas,441,82,359,10.0,,PEBAB
2026,16,abril,2026-04-18,4825,63,canastas,481,91,390,4.0,,PEBAB
2026,16,abril,2026-04-18,4825,63,canastas,510,91,419,419.0,,PEBAB
2026,16,abril,2026-04-18,4825,63,canastas,499,90,409,121.0,,PEBAB
2026,16,abril,2026-04-18,4925,71,canastas,242,55,187,12.0,,PE2
2026,16,abril,2026-04-18,5025,71,canastas,640,94,546,7.0,,AD2
2026,16,abril,2026-04-18,4825,63,canastas,491,91,400,7.0,,PEBAB
2026,16,abril,2026-04-18,4825,63,canastas,712,105,607,34.0,,PE2
2026,16,abril,2026-04-18,4825,63,canastas,599,90,509,34.0,,PE2
2026,16,abril,2026-04-18,5025,71,canastas,593,90,503,65.0,,AD1
2026,16,abril,2026-04-18,4925,71,canastas,478,75,403,66.0,,PE1
2026,16,abril,2026-04-19,4925,71,canastas,620,91,529,14.0,,PE1
2026,16,abril,2026-04-19,526,76,canastas,645,91,554,12.0,,AD1
2026,17,abril,2026-04-20,4925,71,canastas,620,92,528,11.0,,PE1
2026,17,abril,2026-04-20,4925,71,canastas,205,50,155,7.0,,PE1
2026,17,abril,2026-04-20,4925,71,canastas,589,91,498,7.0,,PE1
2026,17,abril,2026-04-20,1026,64,canastas,604,90,514,9.0,,AD2
2026,17,abril,2026-04-20,4925,71,canastas,293,58,235,5.0,,PE3
2026,17,abril,2026-04-20,4825,63,canastas,542,89,453,8.0,,PEGUA
2026,17,abril,2026-04-20,5025,65,canastas,591,90,501,2.0,,AD2
2026,17,abril,2026-04-20,4925,71,canastas,717,90,627,4.0,,PE1
2026,17,abril,2026-04-20,4925,71,canastas,570,90,480,3.0,,PE3
2026,17,abril,2026-04-21,4925,63,canastas,498,91,407,2.0,,PEBAB
2026,17,abril,2026-04-21,4925,63,canastas,341,65,276,5.0,,PE2
2026,17,abril,2026-04-21,4925,63,canastas,587,90,497,4.0,,PE3
2026,17,abril,2026-04-21,5025,65,canastas,541,90,451,4.0,,ADGUA
2026,17,abril,2026-04-21,4925,63,canastas,482,91,391,9.0,,PEBAB
2026,17,abril,2026-04-21,4925,63,canastas,272,54,218,12.0,,PE1
2026,17,abril,2026-04-22,4925,71,canastas,627,91,536,10.0,,PE1
2026,17,abril,2026-04-22,5025,65,canastas,599,91,508,4.0,,AD2
2026,17,abril,2026-04-22,4925,63,canastas,605,89,516,10.0,,PE2
2026,17,abril,2026-04-22,4925,71,canastas,612,88,524,14.0,,PE1
2026,17,abril,2026-04-22,4925,71,canastas,601,91,510,11.0,,PE2
2026,17,abril,2026-04-22,4925,71,canastas,577,89,488,3.0,,PEGUA
2026,17,abril,2026-04-22,4925,63,canastas,491,91,400,13.0,,PEBAB
2026,17,abril,2026-04-22,626,76,canastas,571,85,486,15.0,,AD-PJUG
2026,17,abril,2026-04-23,4925,71,canastas,594,90,504,3.0,,PE2
2026,17,abril,2026-04-23,4925,71,canastas,587,82,505,2.0,,PE2
2026,17,abril,2026-04-23,4925,71,canastas,619,92,527,12.0,,PE1
2026,17,abril,2026-04-23,4925,63,canastas,635,91,544,57.0,,PE1
2026,17,abril,2026-04-23,4925,71,canastas,621,89,532,8.0,,PE1
2026,17,abril,2026-04-23,4925,71,canastas,588,90,498,4.0,,PE3
2026,17,abril,2026-04-23,5025,71,canastas,592,88,504,26.0,,AD-PJUG
2026,17,abril,2026-04-23,4925,71,canastas,597,92,505,4.0,,PE3
2026,17,abril,2026-04-24,4925,71,canastas,592,91,501,3.0,,PE2
2026,17,abril,2026-04-24,4925,71,canastas,606,89,517,2.0,,PE1
2026,17,abril,2026-04-24,4925,71,canastas,630,91,539,5.0,,PE1
2026,17,abril,2026-04-24,4925,71,canastas,620,90,530,4.0,,PE3
2026,17,abril,2026-04-24,4925,71,canastas,627,91,536,5.0,,PE3
2026,17,abril,2026-04-24,4925,63,canastas,554,91,463,7.0,,PEGUA
2026,17,abril,2026-04-24,5125,71,canastas,98,10,88,88.0,,AD-PJUG
2026,17,abril,2026-04-24,626,76,canastas,208,51,157,20.0,,AD-PJUG
2026,17,abril,2026-04-24,4925,63,canastas,612,91,521,4.0,,PE1
2026,17,abril,2026-04-24,4925,71,canastas,499,90,409,5.0,,PEBAB
2026,17,abril,2026-04-25,4925,71,canastas,500,88,412,10.0,,PEBAB
2026,17,abril,2026-04-25,4925,71,canastas,515,90,425,10.0,,PEBAB
2026,17,abril,2026-04-25,4925,63,canastas,549,88,461,31.0,,PEBAB
2026,17,abril,2026-04-25,4925,71,canastas,653,91,562,12.0,,PE1
2026,17,abril,2026-04-25,726,64,canastas,336,65,271,12.0,,AD1
2026,17,abril,2026-04-25,4925,71,canastas,586,89,497,10.0,,PE3
2026,17,abril,2026-04-25,5225,19,canastas,315,54,261,16.0,,AD-PJUG
2026,17,abril,2026-04-25,4925,71,canastas,621,91,530,8.0,,PE3
2026,17,abril,2026-04-25,4925,63,canastas,623,91,532,9.0,,PE3
2026,18,abril,2026-04-27,5025,65,canastas,617,90,527,434.0,,AD1
2026,18,abril,2026-04-27,,,canastas,291,59,232,76.0,,AD-PJUG
2026,18,abril,2026-04-27,,,canastas,605,90,515,10.0,,AD2
2026,18,abril,2026-04-27,,,canastas,658,91,567,6.0,,AD1
2026,18,abril,2026-04-27,5025,71,canastas,634,91,543,11.0,,PE1
2026,18,abril,2026-04-28,5025,71,canastas,611,91,520,24.0,,PEGUA
2026,18,abril,2026-04-28,,,canastas,684,91,593,62.0,,AD1
2026,18,abril,2026-04-28,5025,71,canastas,569,90,479,4.0,,PE3
2026,18,abril,2026-04-28,5025,71,canastas,503,100,403,3.0,,PE2
2026,18,abril,2026-04-28,5025,71,canastas,586,81,505,6.0,,PE1
2026,18,abril,2026-04-29,5225,19,canastas,611,91,520,3.0,,AD2
2026,18,abril,2026-04-29,5125,19,canastas,744,100,644,6.0,,AD1
2026,18,abril,2026-04-29,5025,71,canastas,619,90,529,10.0,,PE2
2026,18,abril,2026-04-29,5025,71,canastas,622,91,531,7.0,,PE1
2026,18,abril,2026-04-29,5025,71,canastas,603,91,512,4.0,,PE3
2026,18,abril,2026-04-29,5025,71,canastas,596,91,505,22.0,,PE1
2026,18,abril,2026-04-29,5025,71,canastas,512,121,391,20.0,,PE2
2026,18,abril,2026-04-29,5025,65,canastas,503,90,413,4.0,,PEBAB
2026,18,abril,2026-04-29,5025,71,canastas,577,89,488,6.0,,PEGUA
2026,18,abril,2026-04-30,5025,65,canastas,575,91,484,2.0,,PEGUA
2026,18,abril,2026-04-30,5025,71,canastas,593,89,504,7.0,,PE1
2026,18,abril,2026-04-30,5025,65,canastas,531,85,446,6.0,,PE3
2026,18,abril,2026-04-30,5125,19,canastas,695,100,595,115.0,,AD-PJUG
2026,18,abril,2026-04-30,5025,71,canastas,537,91,446,20.0,,PIND
2026,18,abril,2026-04-30,226,17,canastas,328,86,242,192.0,,AD-PJUG
2026,18,abril,2026-04-30,5025,71,canastas,666,91,575,8.0,,PE1
2026,18,abril,2026-04-30,5025,65,canastas,566,81,485,19.0,,PE1
2026,18,abril,2026-04-30,5025,71,canastas,587,91,496,2.0,,PE3
2026,18,abril,2026-04-30,5025,71,canastas,593,91,502,5.0,,PE2
2026,18,abril,2026-04-30,5025,71,canastas,563,87,476,3.0,,PE2
2026,18,abril,2026-04-30,5025,71,canastas,569,91,478,2.0,,PE3
2026,18,abril,2026-04-30,5025,71,canastas,606,92,514,9.0,,PE2
2026,18,abril,2026-04-30,5025,71,canastas,634,91,543,11.0,,PE1
2026,18,abril,2026-04-30,5025,71,canastas,576,92,484,9.0,,PEGUA
2026,18,abril,2026-04-30,5225,19,canastas,317,58,259,4.0,,ADGUA
2026,18,mayo,2026-05-01,226,17,canastas,669,97,572,20.0,,AD2
2026,18,mayo,2026-05-01,5025,71,87,1051,404,647,30.0,,PE1
2026,18,mayo,2026-05-01,5025,71,105,1643,358,1285,29.0,,PE1
2026,18,mayo,2026-05-01,5025,71,canastas,589,80,509,3.0,,PE2
2026,18,mayo,2026-05-01,226,17,canastas,602,90,512,20.0,,AD2
2026,18,mayo,2026-05-02,5025,71,canastas,693,91,602,12.0,,PE1
2026,18,mayo,2026-05-02,5125,19,canastas,422,82,340,2.0,,AD1
2026,18,mayo,2026-05-02,5025,71,canastas,666,91,575,61.0,,PE1
2026,18,mayo,2026-05-02,226,17,canastas,604,90,514,4.0,,AD2
2026,18,mayo,2026-05-02,226,17,canastas,608,91,517,21.0,,AD2
2026,18,mayo,2026-05-02,5025,71,canastas,248,53,195,12.0,,PE1
2026,18,mayo,2026-05-02,5225,19,158,1699,401,1298,21.0,,AD1
2026,18,mayo,2026-05-02,5025,65,canastas,572,90,482,5.0,,PE3
2026,18,mayo,2026-05-02,426,17,canastas,626,91,535,3.0,,AD2
2026,18,mayo,2026-05-02,5025,71,canastas,565,91,474,3.0,,PEGUA
2026,18,mayo,2026-05-02,5125,19,12,1737,391,1346,4.0,,AD1
2026,18,mayo,2026-05-02,226,17,canastas,633,90,543,3.0,,AD3
2026,18,mayo,2026-05-02,5025,71,canastas,628,92,536,4.0,,PE1
2026,18,mayo,2026-05-02,5025,71,canastas,612,92,520,3.0,,PE1
2026,18,mayo,2026-05-02,5025,71,1,1748,400,1348,51.0,,PE1
2026,18,mayo,2026-05-02,5025,71,73,1847,391,1456,43.0,,PE1
2026,18,mayo,2026-05-02,5025,65,canastas,390,69,321,3.0,,PE3
2026,18,mayo,2026-05-02,5025,71,canastas,579,91,488,6.0,,PEGUA
2026,18,mayo,2026-05-02,5025,71,canastas,515,80,435,4.0,,PEBAB
2026,19,mayo,2026-05-04,5025,65,canastas,605,88,517,517.0,,PJUG
2026,19,mayo,2026-05-04,5025,71,canastas,661,91,570,6.0,,PE3
2026,19,mayo,2026-05-04,5025,71,canastas,587,91,496,8.0,,PE2
2026,19,mayo,2026-05-04,226,17,canastas,651,90,561,10.0,,AD1
2026,19,mayo,2026-05-04,5125,75,canastas,611,90,521,6.0,,PE1
2026,19,mayo,2026-05-04,5025,65,canastas,556,91,465,10.0,,PEGUA
2026,19,mayo,2026-05-04,5025,71,canastas,612,91,521,6.0,,PE1
2026,19,mayo,2026-05-04,5025,65,canastas,45,6,39,39.0,,PE2
2026,19,mayo,2026-05-04,5025,71,canastas,480,77,403,20.0,,PE1
2026,19,mayo,2026-05-04,5025,65,canastas,665,91,574,51.0,,PE1
2026,19,mayo,2026-05-04,5025,71,canastas,618,91,527,8.0,,PE1
2026,19,mayo,2026-05-04,5025,65,canastas,579,90,489,3.0,,PE3
2026,19,mayo,2026-05-04,5025,65,canastas,633,91,542,20.0,,PJUG
2026,19,mayo,2026-05-05,5025,65,canastas,538,91,447,2.0,,PEGUA
2026,19,mayo,2026-05-05,5025,71,canastas,600,89,511,2.0,,PE2
2026,19,mayo,2026-05-05,5225,19,canastas,402,70,332,8.0,,ADGUA
2026,19,mayo,2026-05-05,5025,71,canastas,605,89,516,11.0,,PE2
2026,19,mayo,2026-05-05,5025,71,canastas,604,91,513,7.0,,PE2
2026,19,mayo,2026-05-05,5025,65,canastas,655,91,564,8.0,,PE1
2026,19,mayo,2026-05-05,226,17,canastas,637,92,545,4.0,,AD1
2026,19,mayo,2026-05-05,5025,71,canastas,439,70,369,2.0,,PE1
2026,19,mayo,2026-05-05,5025,65,canastas,644,90,554,3.0,,PE3
2026,19,mayo,2026-05-05,5025,65,canastas,567,92,475,7.0,,PEGUA
2026,19,mayo,2026-05-05,5025,71,canastas,520,91,429,2.0,,PEBAB
2026,19,mayo,2026-05-05,5025,65,canastas,529,91,438,30.0,,PEBAB
2026,19,mayo,2026-05-05,226,17,canastas,626,91,535,3.0,,AD3
2026,19,mayo,2026-05-05,5025,71,canastas,611,91,520,2.0,,PE2
2026,19,mayo,2026-05-05,5025,65,canastas,590,91,499,2.0,,PE3
2026,19,mayo,2026-05-05,5025,65,canastas,224,51,173,4.0,,PE1
2026,19,mayo,2026-05-05,426,17,canastas,603,90,513,4.0,,AD2
2026,19,mayo,2026-05-05,5025,65,canastas,605,91,514,4.0,,PE2
