ID,FechaProceso,Calibre,Categoria,Grado,PesoNeto,Lote,Grupo
183944,2026-04-01,PE1,piña special 1ra,0.0 - 1.0,383,70,4725
183945,2026-04-01,PE3,piña special 3ra,3.0 - 4.0,195,70,4725
183946,2026-04-01,PIND,piña indstria,1.5 - 2.5,180,70,4725
183947,2026-04-01,PEBAB,piña special baby,1.5 - 2.5,182,70,4725
183948,2026-04-01,PE2,piña special 2da,3.0 - 4.0,415,70,4725
183949,2026-04-01,PE2,piña special 2da,1.5 - 2.5,170,70,4725
183950,2026-04-01,PEGUA,piña special guapita,1.5 - 2.5,263,70,4725
183951,2026-04-01,PE1,piña special 1ra,1.5 - 2.5,761,70,4725
183952,2026-04-01,PE1,piña special 1ra,1.5 - 2.5,28,70,4725
183953,2026-04-01,PE2,piña special 2da,1.5 - 2.5,19,70,4725
183954,2026-04-01,PE3,piña special 3ra,1.5 - 2.5,9,70,4725
183955,2026-04-01,PE1,piña special 1ra,1.5 - 2.5,6,70,4725
183956,2026-04-01,PE1,piña special 1ra,1.5 - 2.5,42,70,4725
183957,2026-04-01,PE2,piña special 2da,1.5 - 2.5,27,70,4725
183958,2026-04-01,PE3,piña special 3ra,1.5 - 2.5,5,70,4725
183959,2026-04-01,PE1,piña special 1ra,1.5 - 2.5,2,70,4725
183960,2026-04-01,PE1,piña special 1ra,0.0 - 1.0,300,70,4725
183961,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,456,63,4725
183962,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,431,63,4725
183963,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,526,70,4725
183964,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,456,70,4725
183965,2026-04-04,PE2,piña special 2da,1.5,392,63,4725
183966,2026-04-04,PE3,piña special 3ra,1.5 - 2.5,508,63,4725
183967,2026-04-04,PE2,piña special 2da,1.5,403,63,4725
183968,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,464,63,4725
183969,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,517,70,4725
183970,2026-04-04,PIND,piña indstria,1.5 - 2.5,502,70,4725
183971,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,434,63,4725
183972,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,415,63,4725
183973,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,456,70,4725
183974,2026-04-04,PE2,piña special 2da,0.0 - 1.0,500,70,4725
183975,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,459,63,4725
183976,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,429,63,4725
183977,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,457,63,4725
183978,2026-04-04,PE3,piña special 3ra,1.5 - 2.5,493,63,4725
183979,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,494,70,4725
183980,2026-04-04,PE2,piña special 2da,1.5,389,70,4725
183981,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,483,70,4725
183982,2026-04-04,PE2,piña special 2da,0.0 - 1.0,516,70,4725
183983,2026-04-04,PE1,piña special 1ra,1.5,403,70,4725
183984,2026-04-04,PIND,piña indstria,1.5 - 2.5,501,70,4725
183985,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,498,70,4725
183986,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,460,70,4725
183987,2026-04-04,PE1,piña special 1ra,0,558,70,4725
183988,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,429,70,4725
183989,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,466,63,4725
183990,2026-04-04,PE2,piña special 2da,0.0 - 1.0,504,63,4725
183991,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,457,63,4725
183992,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,503,63,4725
183993,2026-04-04,PE2,piña special 2da,1.5,387,70,4725
183994,2026-04-04,PE1,piña special 1ra,1.5,403,70,4725
183995,2026-04-04,PE3,piña special 3ra,1.5 - 2.5,492,70,4725
183996,2026-04-04,PE1,piña special 1ra,1,553,70,4725
183997,2026-04-04,PE3,piña special 3ra,3.0 - 4.0,503,70,4725
183998,2026-04-04,PE2,piña special 2da,0.0 - 1.0,501,70,4725
183999,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,494,70,4725
184000,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,436,70,4725
184001,2026-04-04,PE2,piña special 2da,0.0 - 1.0,514,70,4725
184002,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,470,70,4725
184003,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,465,63,4725
184004,2026-04-04,PE1,piña special 1ra,1.5,407,63,4725
184005,2026-04-04,PE1,piña special 1ra,1.5,197,70,4725
184006,2026-04-04,PE2,piña special 2da,1.5,388,70,4725
184007,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,498,70,4725
184008,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,429,70,4725
184009,2026-04-04,PE1,piña special 1ra,0.0 - 1.0,500,70,4725
184010,2026-04-04,PE3,piña special 3ra,1.5 - 2.5,496,70,4725
184011,2026-04-04,PE1,piña special 1ra,3.0 - 4.0,560,70,4725
184012,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,471,70,4725
184013,2026-04-04,PE2,piña special 2da,1.5,410,70,4725
184014,2026-04-04,PE2,piña special 2da,0.0 - 1.0,521,70,4725
184015,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,426,70,4725
184016,2026-04-04,PE1,piña special 1ra,1.5 - 2.5,550,70,4725
184017,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,472,70,4725
184018,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,493,70,4725
184019,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,462,70,4725
184020,2026-04-04,PE2,piña special 2da,1.5,385,70,4725
184021,2026-04-04,PE2,piña special 2da,0.0 - 1.0,509,70,4725
184022,2026-04-04,PE2,piña special 2da,1.5 - 2.5,498,70,4725
184023,2026-04-04,PIND,piña indstria,1.5 - 2.5,525,70,4725
184024,2026-04-04,PIND,piña indstria,1.5 - 2.5,505,70,4725
184025,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,470,70,4725
184026,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,418,70,4725
184027,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,486,70,4725
184028,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,501,70,4725
184029,2026-04-04,PE1,piña special 1ra,0.0 - 1.0,569,70,4725
184030,2026-04-04,PE1,piña special 1ra,0,559,70,4725
184031,2026-04-04,PE1,piña special 1ra,1,545,70,4725
184032,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,505,70,4725
184033,2026-04-04,PE2,piña special 2da,0.0 - 1.0,500,63,4725
184034,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,418,63,4725
184035,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,446,63,4725
184036,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,467,63,4725
184037,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,486,63,4725
184038,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,414,63,4725
184039,2026-04-04,PE3,piña special 3ra,1.5 - 2.5,482,63,4725
184040,2026-04-04,PE2,piña special 2da,0.0 - 1.0,503,63,4725
184041,2026-04-04,PIND,piña indstria,1.5 - 2.5,490,63,4725
184042,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,462,63,4725
184043,2026-04-04,PE1,piña special 1ra,1,564,63,4725
184044,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,451,63,4725
184045,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,426,63,4725
184046,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,44,63,4725
184047,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,489,63,4725
184048,2026-04-04,PE2,piña special 2da,2,398,70,4725
184049,2026-04-04,PE1,piña special 1ra,0.0 - 1.0,544,70,4725
184050,2026-04-04,PE2,piña special 2da,1.5,386,63,4725
184051,2026-04-04,PE2,piña special 2da,0.0 - 1.0,493,63,4725
184052,2026-04-04,PE2,piña special 2da,2,409,63,4725
184053,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,81,63,4725
184054,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,449,63,4725
184055,2026-04-04,PE2,piña special 2da,1.5,237,63,4725
184056,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,504,63,4725
184057,2026-04-04,PE3,piña special 3ra,3.0 - 4.0,498,63,4725
184058,2026-04-04,PE2,piña special 2da,0.0 - 1.0,498,63,4725
184059,2026-04-04,PE1,piña special 1ra,1,568,70,4725
184060,2026-04-04,PE3,piña special 3ra,1.5 - 2.5,495,63,4725
184061,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,467,63,4725
184062,2026-04-04,PE1,piña special 1ra,1.5 - 2.5,534,63,4725
184063,2026-04-04,PE1,piña special 1ra,3.0 - 4.0,559,70,4725
184064,2026-04-04,AD2,Piña AD2,0.0 - 1.0,509,74,226
184065,2026-04-04,AD3,Piña AD3,0.0 - 1.0,475,74,226
184066,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,487,70,4725
184067,2026-04-04,AD2,Piña AD2,0.0 - 1.0,505,74,226
184068,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,262,70,4725
184069,2026-04-04,PJUG,piña jugos,1.5 - 2.5,482,70,4725
184070,2026-04-04,PE1,piña special 1ra,1,184,70,4725
184071,2026-04-04,AD1,Piña AD1,0.0 - 1.0,515,75,0826
184072,2026-04-04,AD3,Piña AD3,0.0 - 1.0,311,75,0826
184073,2026-04-04,PE1,piña special 1ra,1,566,70,4725
184074,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,397,63,4725
184075,2026-04-04,PE1,piña special 1ra,1,549,63,4725
184076,2026-04-04,AD3,Piña AD3,0.0 - 1.0,512,75,0826
184077,2026-04-04,PE1,piña special 1ra,1,556,63,4725
184078,2026-04-04,PE1,piña special 1ra,0.0 - 1.0,620,70,4725
184079,2026-04-04,PE2,piña special 2da,2,416,70,4725
184080,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,462,70,4725
184081,2026-04-04,PIND,piña indstria,1.5 - 2.5,518,70,4725
184082,2026-04-04,PE3,piña special 3ra,1.5 - 2.5,474,70,4725
184083,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,505,70,4725
184084,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,436,70,4725
184085,2026-04-04,PE1,piña special 1ra,1,552,70,4725
184086,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,499,70,4725
184087,2026-04-04,PE2,piña special 2da,0.0 - 1.0,520,70,4725
184088,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,87,71,4825
184089,2026-04-04,PE1,piña special 1ra,1,562,71,4825
184090,2026-04-04,PE1,piña special 1ra,1,544,71,4825
184091,2026-04-04,PE1,piña special 1ra,1,555,71,4825
184092,2026-04-04,PE1,piña special 1ra,1,572,71,4825
184093,2026-04-04,PE1,piña special 1ra,1,462,71,4825
184094,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,267,71,4825
184095,2026-04-04,PE1,piña special 1ra,1,560,71,4825
184096,2026-04-04,PE1,piña special 1ra,1,584,71,4825
184097,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,253,70,4725
184098,2026-04-04,PE2,piña special 2da,2,415,70,4725
184099,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,212,70,4725
184100,2026-04-04,AD-PJUG,AD-piña jugos,1.5 - 2.5,483,75,0826
184101,2026-04-04,PE2,piña special 2da,2,198,70,4725
184102,2026-04-04,PE2,piña special 2da,1.5 - 2.5,371,70,4725
184103,2026-04-04,PIND,piña indstria,1.5 - 2.5,406,70,4725
184104,2026-04-04,PE2,piña special 2da,0.0 - 1.0,484,70,4725
184105,2026-04-04,PIND,piña indstria,1.5 - 2.5,209,70,4725
184106,2026-04-04,PE1,piña special 1ra,1,563,70,4725
184107,2026-04-04,PE3,piña special 3ra,1.5 - 2.5,377,70,4725
184108,2026-04-04,PE2,piña special 2da,3.0 - 4.0,507,70,4725
184109,2026-04-04,PE3,piña special 3ra,0.0 - 1.0,216,70,4725
184110,2026-04-04,PE2,piña special 2da,0.0 - 1.0,378,70,4725
184111,2026-04-04,PE3,piña special 3ra,3.0 - 4.0,392,70,4725
184112,2026-04-04,PE2,piña special 2da,0.0 - 1.0,345,70,4725
184113,2026-04-04,PE2,piña special 2da,1.5 - 2.5,460,70,4725
184114,2026-04-04,PE2,piña special 2da,3.0 - 4.0,313,70,4725
184115,2026-04-04,PEGUA,piña special guapita,1.5 - 2.5,86,70,4725
184116,2026-04-04,PJUG,piña jugos,1.5 - 2.5,67,70,4725
184117,2026-04-04,PE1,piña special 1ra,1.5 - 2.5,441,70,4725
184118,2026-04-04,PE1,piña special 1ra,0.0 - 1.0,199,70,4725
184119,2026-04-04,PE1,piña special 1ra,0.0 - 1.0,533,70,4725
184120,2026-04-04,PEBAB,piña special baby,1.5 - 2.5,207,70,4725
184121,2026-04-05,PE1,piña special 1ra,0.0 - 1.0,531,70,4725
184122,2026-04-05,PE1,piña special 1ra,1,565,70,4725
184123,2026-04-05,PE1,piña special 1ra,0.0 - 1.0,521,70,4725
184124,2026-04-05,PE1,piña special 1ra,1,563,70,4725
184125,2026-04-05,PE1,piña special 1ra,1,546,70,4725
184126,2026-04-05,PE1,piña special 1ra,1.5 - 2.5,573,70,4725
184127,2026-04-05,PE2,piña special 2da,0.0 - 1.0,522,70,4725
184128,2026-04-05,PE1,piña special 1ra,0.0 - 1.0,517,71,4825
184129,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,493,71,4825
184130,2026-04-05,PE1,piña special 1ra,1,564,71,4825
184131,2026-04-05,PE1,piña special 1ra,1.5 - 2.5,553,71,4825
184132,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,411,71,4825
184133,2026-04-05,PIND,piña indstria,1.5 - 2.5,477,71,4825
184134,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,423,71,4825
184135,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,459,71,4825
184136,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,483,70,4725
184137,2026-04-05,PE3,piña special 3ra,0.0 - 1.0,498,70,4725
184138,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,432,70,4725
184139,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,416,70,4725
184140,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,483,70,4725
184141,2026-04-05,PE1,piña special 1ra,1,564,71,4825
184142,2026-04-05,PE1,piña special 1ra,0.0 - 1.0,526,70,4725
184143,2026-04-05,PE1,piña special 1ra,1,574,71,4825
184144,2026-04-05,PE1,piña special 1ra,1,556,71,4825
184145,2026-04-05,PE2,piña special 2da,0.0 - 1.0,521,70,4725
184146,2026-04-05,PE1,piña special 1ra,1,572,71,4825
184147,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,534,62,4725
184148,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,414,62,4725
184149,2026-04-05,PE3,piña special 3ra,1.5 - 2.5,484,62,4725
184150,2026-04-05,PE1,piña special 1ra,0,511,62,4725
184151,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,417,62,4725
184152,2026-04-05,PE1,piña special 1ra,0,523,62,4725
184153,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,516,62,4725
184154,2026-04-05,PE2,piña special 2da,1.5,394,62,4725
184155,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,417,62,4725
184156,2026-04-05,PE1,piña special 1ra,3.0 - 4.0,534,62,4725
184157,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,508,62,4725
184158,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,545,62,4725
184159,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,416,62,4725
184160,2026-04-05,PE3,piña special 3ra,3.0 - 4.0,491,62,4725
184161,2026-04-05,PE2,piña special 2da,3.0 - 4.0,495,62,4725
184162,2026-04-05,PE2,piña special 2da,3.0 - 4.0,504,62,4725
184163,2026-04-05,PIND,piña indstria,1.5 - 2.5,489,62,4725
184164,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,413,62,4725
184165,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,633,62,4725
184166,2026-04-05,PE3,piña special 3ra,3.0 - 4.0,488,62,4725
184167,2026-04-05,PE3,piña special 3ra,3.0 - 4.0,486,62,4725
184168,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,420,62,4725
184169,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,542,62,4725
184170,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,536,62,4725
184171,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,416,62,4725
184172,2026-04-05,PE3,piña special 3ra,3.0 - 4.0,478,62,4725
184173,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,416,62,4725
184174,2026-04-05,PE3,piña special 3ra,0.0 - 1.0,476,62,4725
184175,2026-04-05,PE1,piña special 1ra,1.5 - 2.5,48,71,4825
184176,2026-04-05,PE2,piña special 2da,1.5 - 2.5,16,71,4825
184177,2026-04-05,PE3,piña special 3ra,1.5 - 2.5,5,71,4825
184178,2026-04-05,PE1,piña special 1ra,1.5 - 2.5,3,71,4825
184179,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,441,71,4825
184180,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,425,71,4825
184181,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,496,71,4825
184182,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,423,71,4825
184183,2026-04-05,PE2,piña special 2da,1.5 - 2.5,499,71,4825
184184,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,520,62,4725
184185,2026-04-05,PE1,piña special 1ra,3.0 - 4.0,549,62,4725
184186,2026-04-05,PIND,piña indstria,1.5 - 2.5,499,62,4725
184187,2026-04-05,PE2,piña special 2da,2,201,62,4825
184188,2026-04-05,PE2,piña special 2da,2,401,71,4825
184189,2026-04-05,PE3,piña special 3ra,3.0 - 4.0,477,62,4725
184190,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,426,62,4725
184191,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,531,62,4725
184192,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,450,62,4725
184193,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,494,62,4725
184194,2026-04-05,PE2,piña special 2da,3.0 - 4.0,495,62,4725
184195,2026-04-05,PE2,piña special 2da,1.5,376,62,4725
184196,2026-04-05,PE3,piña special 3ra,1.5 - 2.5,500,62,4725
184197,2026-04-05,PE3,piña special 3ra,1.5 - 2.5,500,62,4725
184198,2026-04-05,PE2,piña special 2da,0.0 - 1.0,510,62,4725
184199,2026-04-05,PE3,piña special 3ra,0.0 - 1.0,525,62,4725
184200,2026-04-05,PIND,piña indstria,1.5 - 2.5,524,62,4725
184201,2026-04-05,PE2,piña special 2da,0.0 - 1.0,497,62,4725
184202,2026-04-05,PE1,piña special 1ra,1.5 - 2.5,543,62,4725
184203,2026-04-05,PE1,piña special 1ra,0.0 - 1.0,536,62,4725
184204,2026-04-05,PE2,piña special 2da,1.5,398,62,4725
184205,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,189,62,4725
184206,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,498,62,4725
184207,2026-04-05,PE2,piña special 2da,1.5 - 2.5,497,62,4725
184208,2026-04-05,PE3,piña special 3ra,0.0 - 1.0,507,62,4725
184209,2026-04-05,PE3,piña special 3ra,1.5 - 2.5,555,62,4725
184210,2026-04-05,PE1,piña special 1ra,3.0 - 4.0,531,62,4725
184211,2026-04-05,PE1,piña special 1ra,0.0 - 1.0,519,62,4725
184212,2026-04-05,PE2,piña special 2da,1.5,381,62,4725
184213,2026-04-05,PE2,piña special 2da,1.5,77,62,4725
184214,2026-04-05,PE2,piña special 2da,1.5 - 2.5,426,62,4725
184215,2026-04-05,PE3,piña special 3ra,0.0 - 1.0,628,62,4725
184216,2026-04-05,PE1,piña special 1ra,1.5 - 2.5,273,70,4725
184217,2026-04-05,PE1,piña special 1ra,0.0 - 1.0,522,70,4725
184218,2026-04-05,PE2,piña special 2da,3.0 - 4.0,457,70,4725
184219,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,517,70,4725
184220,2026-04-05,PE3,piña special 3ra,3.0 - 4.0,400,62,4725
184221,2026-04-05,PE2,piña special 2da,0.0 - 1.0,281,62,4725
184222,2026-04-05,PE3,piña special 3ra,0.0 - 1.0,552,62,4725
184223,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,166,62,4725
184224,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,231,62,4725
184225,2026-04-05,AD-PJUG,AD-piña jugos,3.0 - 4.0,305,70,226
184226,2026-04-05,PIND,piña indstria,1.5 - 2.5,366,62,4725
184227,2026-04-05,PE2,piña special 2da,0.0 - 1.0,502,62,4725
184228,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,290,62,4725
184229,2026-04-05,AD-PJUG,AD-piña jugos,3.0 - 4.0,473,74,226
184230,2026-04-05,AD-PJUG,AD-piña jugos,3.0 - 4.0,289,74,326
184231,2026-04-05,PE1,piña special 1ra,0.0 - 1.0,210,62,4725
184232,2026-04-05,PE1,piña special 1ra,3.0 - 4.0,408,62,4725
184233,2026-04-05,PEGUA,piña special guapita,1.5 - 2.5,1240,62,4725
184234,2026-04-05,PEBAB,piña special baby,1.5 - 2.5,891,62,4725
184235,2026-04-05,AD1,Piña AD1,0.0 - 1.0,1338,74,226
184236,2026-04-05,AD2,Piña AD2,0.0 - 1.0,1380,74,326
